USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       120  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [charger_manager]
root       176  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kpsmoused]
root       178  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_0]
root       180  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_0]
root       182  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_1]
root       184  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_1]
root       187  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_2]
root       189  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_2]
root       190  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_3]
root       191  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_3]
root       192  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_4]
root       193  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_4]
root       197  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_5]
root       198  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_5]
root       266  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_6]
root       267  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_6]
root       268  0.1  0.0      0     0 ?        S    Feb06   4:48  \_ [usb-storage]
root       273  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [scsi_eh_8]
root       274  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [scsi_tmf_8]
root       278  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/7:1H]
root       279  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/4:1H]
root       280  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/5:1H]
root       283  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/0:1H]
root       284  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/2:1H]
root       287  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/1:1H]
root       288  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/3:1H]
root       313  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kdmflush]
root       314  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [bioset]
root       315  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kcryptd_io]
root       316  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kcryptd]
root       317  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [bioset]
root       328  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kdmflush]
root       329  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [bioset]
root       330  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kdmflush]
root       332  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [bioset]
root       353  0.0  0.0      0     0 ?        S    Feb06   0:08  \_ [jbd2/dm-1-8]
root       354  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [ext4-rsv-conver]
root       584  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [ext4-rsv-conver]
root       670  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [irq/47-mei_me]
root       708  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [hd-audio0]
root       712  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [hd-audio2]
root       715  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [hd-audio1]
root       824  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kvm-irqfd-clean]
root       930  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/6:1H]
root      1223  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [krfcommd]
root      1575  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [kauditd]
root      1692  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [iprt]
root      3380  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [jbd2/sde1-8]
root      3381  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [ext4-rsv-conver]
root      3394  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [jbd2/sdg-8]
root      3395  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [ext4-rsv-conver]
root      3396  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [jbd2/sdf-8]
root      3397  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [ext4-rsv-conver]
root     21376  0.0  0.0      0     0 ?        S    Feb07   0:00  \_ [jbd2/sdb1-8]
root     21377  0.0  0.0      0     0 ?        S<   Feb07   0:00  \_ [ext4-rsv-conver]
root     18908  0.0  0.0      0     0 ?        S    03:24   0:00  \_ [scsi_eh_10]
root     18909  0.0  0.0      0     0 ?        S<   03:24   0:00  \_ [scsi_tmf_10]
root     18910  0.0  0.0      0     0 ?        S    03:24   0:00  \_ [usb-storage]
root     27638  0.0  0.0      0     0 ?        S    11:31   0:00  \_ [jbd2/sdh2-8]
root     27639  0.0  0.0      0     0 ?        S<   11:31   0:00  \_ [ext4-rsv-conver]
root      5525  0.0  0.0      0     0 ?        S    17:12   0:00  \_ [kworker/5:2]
root      5893  0.0  0.0      0     0 ?        S    17:33   0:01  \_ [kworker/u16:1]
root      5969  0.0  0.0      0     0 ?        S    17:37   0:00  \_ [kworker/5:0]
root      6529  0.0  0.0      0     0 ?        S    18:10   0:00  \_ [kworker/1:1]
root      6970  0.0  0.0      0     0 ?        S    18:15   0:01  \_ [kworker/7:0]
